1319,40920,5360,7774
1320,40918,5360,7766
1331,40933,5371,7842
1332,40907,5366,7697
1370,40935,5371,7850
1374,40926,5363,7797
1380,40903,5364,7708
1389,40936,5371,7852
1392,40974,5375,6889
1395,40910,5366,7733
1402,40909,5366,7730
1412,40958,5367,7930
1424,40948,5373,7882
1427,40896,5361,7677
1432,40938,5369,7862
1477,40925,5363,7790
1488,40969,5374,6874
1489,40972,5375,6332
1490,40968,5374,5287
1492,40915,5359,7753
1494,40914,5359,7750
1495,40916,5359,7757
1504,40975,5375,6509
1506,40973,5375,6024
1507,40976,5375,6597
1514,40978,5376,7090
1516,40911,5366,7737
1520,40979,5376,7072
1526,40980,5376,6657
1528,40977,5376,6036
1536,40981,5376,6030
1544,40917,5360,7762
1549,40898,5362,7682
1550,40922,5363,7782
1551,40921,5360,7778
1556,40893,5361,7665
1557,40892,5361,7662
1558,40895,5361,7673
1559,40894,5361,7669
1572,40908,5366,7724
1581,40971,5374,5470
1584,40964,5368,6575
1588,40956,5370,7926
1601,40929,5365,7806
1603,40927,5365,7802
1610,40924,5363,7789
1611,40923,5363,7786
1612,40901,5362,7700
1618,40899,5362,7689
1619,40897,5362,7686
1620,40902,5364,7704
1633,40905,5364,7716
1641,40928,5365,7814
1642,40904,5364,7712
1649,40906,5364,7719
1675,40913,5359,7746
1676,40912,5359,7742
1754,40957,5367,5909
1784,40947,5373,7878
1788,40950,5373,7892
1798,40934,5371,7846
1799,40951,5373,7888
1800,40952,5370,7910
1801,40937,5369,7858
1804,40953,5370,7914
1805,40932,5371,7838
1807,40954,5370,7916
1810,40955,5370,7922
1839,40941,5369,7874
1840,40939,5369,7866
1856,40949,5373,7886
1866,40965,5368,6455
1868,40931,5365,7818
1936,40962,5368,6452
1940,40919,5360,7770
1942,40963,5368,6437
1944,40943,5372,7898
1946,40930,5365,7810
1950,40966,5368,6559
1951,40940,5369,7870
1952,40945,5372,7902
1960,40967,5374,5952
1962,40946,5372,5931
1963,40942,5372,7834
1967,40960,5367,7938
1968,40970,5374,6015
1976,40944,5372,6311
1978,40961,5367,7942
1980,40959,5367,7934
1984,40900,5362,7693
